id,station_code,sample_date,analyte,result,unit
22,Crown 2001 Shoreline Dr.,2011-01-18T00:00:00,Enterococcus,350,MPN/100 mL
23,Crown 2001 Shoreline Dr.,2011-01-18T00:00:00,"Coliform, Fecal",370,MPN/100 mL
24,Crown 2001 Shoreline Dr.,2011-01-21T00:00:00,"Coliform, Total",97,MPN/100 mL
25,Crown 2001 Shoreline Dr.,2011-02-07T00:00:00,"Coliform, Total",31,MPN/100 mL
26,Crown 2001 Shoreline Dr.,2011-02-22T00:00:00,"Coliform, Total",340,MPN/100 mL
27,Crown 2001 Shoreline Dr.,2011-02-24T00:00:00,"Coliform, Total",270,MPN/100 mL
28,Crown 2001 Shoreline Dr.,2011-03-07T00:00:00,"Coliform, Fecal",26,MPN/100 mL
29,Crown 2001 Shoreline Dr.,2011-03-29T00:00:00,Enterococcus,18,MPN/100 mL
30,Crown 2001 Shoreline Dr.,2011-03-29T00:00:00,"Coliform, Fecal",70,MPN/100 mL
31,Crown 2001 Shoreline Dr.,2011-04-11T00:00:00,Enterococcus,1,MPN/100 mL
32,Crown 2001 Shoreline Dr.,2011-05-02T00:00:00,Enterococcus,1,MPN/100 mL
33,Crown 2001 Shoreline Dr.,2011-05-09T00:00:00,Enterococcus,190,MPN/100 mL
34,Crown 2001 Shoreline Dr.,2011-05-16T00:00:00,Enterococcus,13,MPN/100 mL
35,Crown 2001 Shoreline Dr.,2011-05-31T00:00:00,Enterococcus,3,MPN/100 mL
36,Crown 2001 Shoreline Dr.,2011-06-06T00:00:00,"Coliform, Total",260,MPN/100 mL
37,Crown 2001 Shoreline Dr.,2011-06-27T00:00:00,Enterococcus,1,MPN/100 mL
38,Crown 2001 Shoreline Dr.,2011-07-06T00:00:00,"Coliform, Total",52,MPN/100 mL
39,Crown 2001 Shoreline Dr.,2011-07-06T00:00:00,Enterococcus,1,MPN/100 mL
40,Crown 2001 Shoreline Dr.,2011-07-06T00:00:00,"Coliform, Fecal",1,MPN/100 mL
41,Crown 2001 Shoreline Dr.,2011-07-11T00:00:00,"Coliform, Total",52,MPN/100 mL
42,Crown 2001 Shoreline Dr.,2011-07-18T00:00:00,Enterococcus,7,MPN/100 mL
43,Crown 2001 Shoreline Dr.,2011-07-18T00:00:00,"Coliform, Fecal",2,MPN/100 mL
44,Crown 2001 Shoreline Dr.,2011-07-25T00:00:00,"Coliform, Total",96,MPN/100 mL
45,Crown 2001 Shoreline Dr.,2011-07-25T00:00:00,Enterococcus,3,MPN/100 mL
46,Crown 2001 Shoreline Dr.,2011-07-25T00:00:00,"Coliform, Fecal",5,MPN/100 mL
47,Crown 2001 Shoreline Dr.,2011-08-08T00:00:00,"Coliform, Total",31,MPN/100 mL
48,Crown 2001 Shoreline Dr.,2011-08-08T00:00:00,Enterococcus,2,MPN/100 mL
49,Crown 2001 Shoreline Dr.,2011-08-15T00:00:00,"Coliform, Total",180,MPN/100 mL
50,Crown 2001 Shoreline Dr.,2011-08-15T00:00:00,Enterococcus,23,MPN/100 mL
51,Crown 2001 Shoreline Dr.,2011-08-22T00:00:00,Enterococcus,2,MPN/100 mL
52,Crown 2001 Shoreline Dr.,2011-08-29T00:00:00,"Coliform, Fecal",110,MPN/100 mL
53,Crown 2001 Shoreline Dr.,2011-09-19T00:00:00,"Coliform, Total",190,MPN/100 mL
54,Crown 2001 Shoreline Dr.,2011-09-19T00:00:00,Enterococcus,6,MPN/100 mL
55,Crown 2001 Shoreline Dr.,2011-09-19T00:00:00,"Coliform, Fecal",61,MPN/100 mL
56,Crown 2001 Shoreline Dr.,2011-09-26T00:00:00,Enterococcus,1,MPN/100 mL
57,Crown 2001 Shoreline Dr.,2011-09-26T00:00:00,"Coliform, Fecal",10,MPN/100 mL
58,Crown 2001 Shoreline Dr.,2011-10-11T00:00:00,"Coliform, Total",660,MPN/100 mL
59,Crown 2001 Shoreline Dr.,2011-10-17T00:00:00,Enterococcus,1,MPN/100 mL
60,Crown 2001 Shoreline Dr.,2011-10-24T00:00:00,"Coliform, Total",210,MPN/100 mL
61,Crown 2001 Shoreline Dr.,2011-10-24T00:00:00,Enterococcus,1,MPN/100 mL
62,Crown 2001 Shoreline Dr.,2011-11-28T00:00:00,"Coliform, Total",20,MPN/100 mL
63,Crown 2001 Shoreline Dr.,2010-05-17T00:00:00,"Coliform, Fecal",9,MPN/100 mL
64,Crown 2001 Shoreline Dr.,2010-05-24T00:00:00,"Coliform, Total",10,MPN/100 mL
65,Crown 2001 Shoreline Dr.,2011-12-12T00:00:00,"Coliform, Total",52,MPN/100 mL
66,Crown 2001 Shoreline Dr.,2011-12-27T00:00:00,"Coliform, Total",31,MPN/100 mL
67,Crown 2001 Shoreline Dr.,2011-12-27T00:00:00,"Coliform, Fecal",21,MPN/100 mL
68,Crown 2001 Shoreline Dr.,2012-01-09T00:00:00,Enterococcus,25,MPN/100 mL
69,Crown 2001 Shoreline Dr.,2012-01-09T00:00:00,"Coliform, Fecal",37,MPN/100 mL
70,Crown 2001 Shoreline Dr.,2010-06-07T00:00:00,Enterococcus,1,MPN/100 mL
71,Crown 2001 Shoreline Dr.,2010-06-21T00:00:00,"Coliform, Fecal",1,MPN/100 mL
72,Crown 2001 Shoreline Dr.,2010-06-28T00:00:00,Enterococcus,3,MPN/100 mL
73,Crown 2001 Shoreline Dr.,2010-07-06T00:00:00,"Coliform, Total",190,MPN/100 mL
74,Crown 2001 Shoreline Dr.,2010-07-26T00:00:00,"Coliform, Fecal",4,MPN/100 mL
75,Crown 2001 Shoreline Dr.,2012-01-23T00:00:00,"Coliform, Fecal",120,MPN/100 mL
76,Crown 2001 Shoreline Dr.,2012-02-07T00:00:00,"Coliform, Total",650,MPN/100 mL
77,Crown 2001 Shoreline Dr.,2012-02-08T00:00:00,"Coliform, Total",75,MPN/100 mL
78,Crown 2001 Shoreline Dr.,2012-02-08T00:00:00,"Coliform, Fecal",28,MPN/100 mL
79,Crown 2001 Shoreline Dr.,2012-02-21T00:00:00,"Coliform, Fecal",1,MPN/100 mL
80,Crown 2001 Shoreline Dr.,2010-08-02T00:00:00,"Coliform, Total",160,MPN/100 mL
81,Crown 2001 Shoreline Dr.,2010-08-09T00:00:00,"Coliform, Total",86,MPN/100 mL
82,Crown 2001 Shoreline Dr.,2010-08-09T00:00:00,"Coliform, Fecal",44,MPN/100 mL
83,Crown 2001 Shoreline Dr.,2010-08-16T00:00:00,Enterococcus,1,MPN/100 mL
84,Crown 2001 Shoreline Dr.,2010-08-30T00:00:00,Enterococcus,6,MPN/100 mL
85,Crown 2001 Shoreline Dr.,2012-03-06T00:00:00,"Coliform, Total",580,MPN/100 mL
86,Crown 2001 Shoreline Dr.,2012-03-20T00:00:00,"Coliform, Fecal",17,MPN/100 mL
87,Crown 2001 Shoreline Dr.,2012-04-03T00:00:00,"Coliform, Total",40,MPN/100 mL
88,Crown 2001 Shoreline Dr.,2012-04-10T00:00:00,"Coliform, Total",1100,MPN/100 mL
89,Crown 2001 Shoreline Dr.,2012-04-17T00:00:00,"Coliform, Fecal",9,MPN/100 mL
90,Crown 2001 Shoreline Dr.,2010-09-07T00:00:00,Enterococcus,2,MPN/100 mL
91,Crown 2001 Shoreline Dr.,2010-09-27T00:00:00,"Coliform, Total",160,MPN/100 mL
92,Crown 2001 Shoreline Dr.,2010-10-04T00:00:00,Enterococcus,7,MPN/100 mL
93,Crown 2001 Shoreline Dr.,2010-10-12T00:00:00,Enterococcus,2,MPN/100 mL
94,Crown 2001 Shoreline Dr.,2010-10-12T00:00:00,"Coliform, Fecal",4,MPN/100 mL
95,Crown 2001 Shoreline Dr.,2010-12-06T00:00:00,"Coliform, Total",2500,MPN/100 mL
96,Crown 2001 Shoreline Dr.,2010-12-06T00:00:00,"Coliform, Fecal",150,MPN/100 mL
97,Crown 2001 Shoreline Dr.,2011-01-03T00:00:00,"Coliform, Fecal",28,MPN/100 mL
98,Crown 2001 Shoreline Dr.,2011-02-22T00:00:00,"Coliform, Fecal",140,MPN/100 mL
99,Crown 2001 Shoreline Dr.,2011-03-07T00:00:00,Enterococcus,15,MPN/100 mL
100,Crown 2001 Shoreline Dr.,2012-05-08T00:00:00,Enterococcus,22,MPN/100 mL
101,Crown 2001 Shoreline Dr.,2012-05-22T00:00:00,Enterococcus,2,MPN/100 mL
102,Crown 2001 Shoreline Dr.,2012-06-05T00:00:00,"Coliform, Total",340,MPN/100 mL
103,Crown 2001 Shoreline Dr.,2012-06-12T00:00:00,"Coliform, Total",52,MPN/100 mL
104,Crown 2001 Shoreline Dr.,2012-06-12T00:00:00,"Coliform, Fecal",1,MPN/100 mL
105,Crown 2001 Shoreline Dr.,2011-03-21T00:00:00,Enterococcus,170,MPN/100 mL
106,Crown 2001 Shoreline Dr.,2011-03-29T00:00:00,"Coliform, Total",460,MPN/100 mL
107,Crown 2001 Shoreline Dr.,2011-04-18T00:00:00,"Coliform, Total",86,MPN/100 mL
108,Crown 2001 Shoreline Dr.,2011-04-18T00:00:00,Enterococcus,5,MPN/100 mL
109,Crown 2001 Shoreline Dr.,2011-05-02T00:00:00,"Coliform, Total",31,MPN/100 mL
110,Crown 2001 Shoreline Dr.,2011-05-16T00:00:00,"Coliform, Total",250,MPN/100 mL
111,Crown 2001 Shoreline Dr.,2011-05-23T00:00:00,"Coliform, Fecal",1,MPN/100 mL
112,Crown 2001 Shoreline Dr.,2011-05-31T00:00:00,"Coliform, Total",200,MPN/100 mL
113,Crown 2001 Shoreline Dr.,2011-06-06T00:00:00,"Coliform, Fecal",60,MPN/100 mL
114,Crown 2001 Shoreline Dr.,2011-06-13T00:00:00,"Coliform, Total",41,MPN/100 mL
115,Crown 2001 Shoreline Dr.,2012-06-19T00:00:00,"Coliform, Fecal",160,MPN/100 mL
116,Crown 2001 Shoreline Dr.,2012-07-10T00:00:00,Enterococcus,1,MPN/100 mL
117,Crown 2001 Shoreline Dr.,2012-07-17T00:00:00,Enterococcus,1,MPN/100 mL
118,Crown 2001 Shoreline Dr.,2012-07-24T00:00:00,"Coliform, Fecal",5,MPN/100 mL
119,Crown 2001 Shoreline Dr.,2012-08-22T00:00:00,Enterococcus,5,MPN/100 mL
120,Crown 2001 Shoreline Dr.,2011-06-13T00:00:00,Enterococcus,3,MPN/100 mL
121,Crown 2001 Shoreline Dr.,2011-06-20T00:00:00,"Coliform, Total",41,MPN/100 mL
122,Crown 2001 Shoreline Dr.,2011-07-18T00:00:00,"Coliform, Total",10,MPN/100 mL
123,Crown 2001 Shoreline Dr.,2011-08-22T00:00:00,"Coliform, Total",10,MPN/100 mL
124,Crown 2001 Shoreline Dr.,2011-08-29T00:00:00,"Coliform, Total",370,MPN/100 mL
125,Crown 2001 Shoreline Dr.,2012-09-11T00:00:00,"Coliform, Fecal",44,MPN/100 mL
126,Crown 2001 Shoreline Dr.,2012-09-17T00:00:00,Enterococcus,390,MPN/100 mL
127,Crown 2001 Shoreline Dr.,2012-09-17T00:00:00,"Coliform, Fecal",710,MPN/100 mL
128,Crown 2001 Shoreline Dr.,2012-09-20T00:00:00,Enterococcus,35,MPN/100 mL
129,Crown 2001 Shoreline Dr.,2012-09-24T00:00:00,"Coliform, Total",20,MPN/100 mL
130,Crown 2001 Shoreline Dr.,2011-09-06T00:00:00,"Coliform, Total",86,MPN/100 mL
131,Crown 2001 Shoreline Dr.,2011-09-06T00:00:00,"Coliform, Fecal",1,MPN/100 mL
132,Crown 2001 Shoreline Dr.,2011-09-12T00:00:00,Enterococcus,3,MPN/100 mL
133,Crown 2001 Shoreline Dr.,2011-09-12T00:00:00,"Coliform, Fecal",25,MPN/100 mL
134,Crown 2001 Shoreline Dr.,2011-09-26T00:00:00,"Coliform, Total",86,MPN/100 mL
135,Crown 2001 Shoreline Dr.,2011-10-03T00:00:00,"Coliform, Total",140,MPN/100 mL
136,Crown 2001 Shoreline Dr.,2011-10-03T00:00:00,"Coliform, Fecal",11,MPN/100 mL
137,Crown 2001 Shoreline Dr.,2011-10-17T00:00:00,"Coliform, Total",52,MPN/100 mL
138,Crown 2001 Shoreline Dr.,2011-10-31T00:00:00,"Coliform, Total",31,MPN/100 mL
139,Crown 2001 Shoreline Dr.,2011-10-31T00:00:00,"Coliform, Fecal",8,MPN/100 mL
140,Crown 2001 Shoreline Dr.,2012-10-01T00:00:00,"Coliform, Total",86,MPN/100 mL
141,Crown 2001 Shoreline Dr.,2012-10-09T00:00:00,"Coliform, Fecal",11,MPN/100 mL
142,Crown 2001 Shoreline Dr.,2012-10-22T00:00:00,"Coliform, Total",1200,MPN/100 mL
143,Crown 2001 Shoreline Dr.,2012-10-22T00:00:00,Enterococcus,170,MPN/100 mL
144,Crown 2001 Shoreline Dr.,2012-10-25T00:00:00,"Coliform, Total",230,MPN/100 mL
145,Crown 2001 Shoreline Dr.,2011-11-15T00:00:00,"Coliform, Fecal",260,MPN/100 mL
146,Crown 2001 Shoreline Dr.,2012-01-09T00:00:00,"Coliform, Total",1800,MPN/100 mL
147,Crown 2001 Shoreline Dr.,2012-01-23T00:00:00,"Coliform, Total",790,MPN/100 mL
148,Crown 2001 Shoreline Dr.,2012-01-23T00:00:00,Enterococcus,59,MPN/100 mL
149,Crown 2001 Shoreline Dr.,2012-02-07T00:00:00,"Coliform, Fecal",250,MPN/100 mL
150,Crown 2001 Shoreline Dr.,2012-11-13T00:00:00,"Coliform, Total",98,MPN/100 mL
151,Crown 2001 Shoreline Dr.,2012-11-13T00:00:00,"Coliform, Fecal",14,MPN/100 mL
152,Crown 2001 Shoreline Dr.,2012-12-10T00:00:00,Enterococcus,3,MPN/100 mL
153,Crown 2001 Shoreline Dr.,2013-01-14T00:00:00,"Coliform, Fecal",2,MPN/100 mL
154,Crown 2001 Shoreline Dr.,2013-02-13T00:00:00,"Coliform, Fecal",210,MPN/100 mL
155,Crown 2001 Shoreline Dr.,2012-02-08T00:00:00,Enterococcus,14,MPN/100 mL
156,Crown 2001 Shoreline Dr.,2012-02-09T00:00:00,"Coliform, Total",170,MPN/100 mL
157,Crown 2001 Shoreline Dr.,2012-02-09T00:00:00,Enterococcus,62,MPN/100 mL
158,Crown 2001 Shoreline Dr.,2012-03-08T00:00:00,"Coliform, Fecal",170,MPN/100 mL
159,Crown 2001 Shoreline Dr.,2012-03-20T00:00:00,"Coliform, Total",31,MPN/100 mL
160,Crown 2001 Shoreline Dr.,2013-04-02T00:00:00,"Coliform, Fecal",30,MPN/100 mL
161,Crown 2001 Shoreline Dr.,2013-04-15T00:00:00,"Coliform, Total",290,MPN/100 mL
162,Crown 2001 Shoreline Dr.,2013-04-15T00:00:00,Enterococcus,130,MPN/100 mL
163,Crown 2001 Shoreline Dr.,2013-04-18T00:00:00,"Coliform, Total",50,MPN/100 mL
164,Crown 2001 Shoreline Dr.,2013-04-18T00:00:00,Enterococcus,1,MPN/100 mL
165,Crown 2001 Shoreline Dr.,2012-03-20T00:00:00,Enterococcus,3,MPN/100 mL
166,Crown 2001 Shoreline Dr.,2012-04-03T00:00:00,"Coliform, Fecal",90,MPN/100 mL
167,Crown 2001 Shoreline Dr.,2012-04-10T00:00:00,Enterococcus,90,MPN/100 mL
168,Crown 2001 Shoreline Dr.,2012-04-17T00:00:00,"Coliform, Total",52,MPN/100 mL
169,Crown 2001 Shoreline Dr.,2012-04-24T00:00:00,"Coliform, Fecal",21,MPN/100 mL
170,Crown 2001 Shoreline Dr.,2013-04-22T00:00:00,"Coliform, Total",20,MPN/100 mL
171,Crown 2001 Shoreline Dr.,2013-04-29T00:00:00,"Coliform, Fecal",18,MPN/100 mL
172,Crown 2001 Shoreline Dr.,2013-05-13T00:00:00,"Coliform, Fecal",7,MPN/100 mL
173,Crown 2001 Shoreline Dr.,2013-05-20T00:00:00,"Coliform, Total",10,MPN/100 mL
174,Crown 2001 Shoreline Dr.,2013-05-20T00:00:00,"Coliform, Fecal",1,MPN/100 mL
175,Crown 2001 Shoreline Dr.,2012-05-08T00:00:00,"Coliform, Total",110,MPN/100 mL
176,Crown 2001 Shoreline Dr.,2012-05-15T00:00:00,"Coliform, Total",52,MPN/100 mL
177,Crown 2001 Shoreline Dr.,2012-05-15T00:00:00,Enterococcus,2,MPN/100 mL
178,Crown 2001 Shoreline Dr.,2012-05-15T00:00:00,"Coliform, Fecal",1,MPN/100 mL
179,Crown 2001 Shoreline Dr.,2012-05-22T00:00:00,"Coliform, Fecal",6,MPN/100 mL
180,Crown 2001 Shoreline Dr.,2013-05-30T00:00:00,Enterococcus,2,MPN/100 mL
181,Crown 2001 Shoreline Dr.,2013-05-30T00:00:00,"Coliform, Fecal",11,MPN/100 mL
182,Crown 2001 Shoreline Dr.,2013-06-03T00:00:00,"Coliform, Fecal",6,MPN/100 mL
183,Crown 2001 Shoreline Dr.,2013-06-10T00:00:00,Enterococcus,2,MPN/100 mL
184,Crown 2001 Shoreline Dr.,2013-06-17T00:00:00,Enterococcus,1,MPN/100 mL
185,Crown 2001 Shoreline Dr.,2012-05-29T00:00:00,Enterococcus,1,MPN/100 mL
186,Crown 2001 Shoreline Dr.,2012-05-29T00:00:00,"Coliform, Fecal",3,MPN/100 mL
187,Crown 2001 Shoreline Dr.,2012-06-05T00:00:00,Enterococcus,2,MPN/100 mL
188,Crown 2001 Shoreline Dr.,2012-06-12T00:00:00,Enterococcus,1,MPN/100 mL
189,Crown 2001 Shoreline Dr.,2012-06-21T00:00:00,Enterococcus,5,MPN/100 mL
190,Crown 2001 Shoreline Dr.,2013-06-26T00:00:00,Enterococcus,5,MPN/100 mL
191,Crown 2001 Shoreline Dr.,2013-07-01T00:00:00,"Coliform, Total",31,MPN/100 mL
192,Crown 2001 Shoreline Dr.,2013-07-01T00:00:00,"Coliform, Fecal",32,MPN/100 mL
193,Crown 2001 Shoreline Dr.,2013-07-08T00:00:00,"Coliform, Total",170,MPN/100 mL
194,Crown 2001 Shoreline Dr.,2013-07-15T00:00:00,"Coliform, Total",110,MPN/100 mL
195,Crown 2001 Shoreline Dr.,2012-06-26T00:00:00,"Coliform, Total",63,MPN/100 mL
196,Crown 2001 Shoreline Dr.,2012-07-03T00:00:00,"Coliform, Total",230,MPN/100 mL
197,Crown 2001 Shoreline Dr.,2012-07-03T00:00:00,"Coliform, Fecal",1,MPN/100 mL
198,Crown 2001 Shoreline Dr.,2012-07-10T00:00:00,"Coliform, Fecal",1,MPN/100 mL
199,Crown 2001 Shoreline Dr.,2012-07-24T00:00:00,"Coliform, Total",160,MPN/100 mL
200,Crown 2001 Shoreline Dr.,2013-07-15T00:00:00,Enterococcus,13,MPN/100 mL
201,Crown 2001 Shoreline Dr.,2013-07-15T00:00:00,"Coliform, Fecal",25,MPN/100 mL
202,Crown 2001 Shoreline Dr.,2013-08-05T00:00:00,"Coliform, Fecal",1,MPN/100 mL
203,Crown 2001 Shoreline Dr.,2013-08-13T00:00:00,"Coliform, Total",370,MPN/100 mL
204,Crown 2001 Shoreline Dr.,2013-08-26T00:00:00,Enterococcus,6,MPN/100 mL
205,Crown 2001 Shoreline Dr.,2012-07-24T00:00:00,Enterococcus,1,MPN/100 mL
206,Crown 2001 Shoreline Dr.,2012-07-31T00:00:00,"Coliform, Total",290,MPN/100 mL
207,Crown 2001 Shoreline Dr.,2012-08-22T00:00:00,"Coliform, Total",430,MPN/100 mL
208,Crown 2001 Shoreline Dr.,2012-08-27T00:00:00,Enterococcus,3,MPN/100 mL
209,Crown 2001 Shoreline Dr.,2012-08-27T00:00:00,"Coliform, Fecal",60,MPN/100 mL
210,Crown 2001 Shoreline Dr.,2013-08-26T00:00:00,"Coliform, Fecal",44,MPN/100 mL
211,Crown 2001 Shoreline Dr.,2013-09-03T00:00:00,"Coliform, Fecal",7,MPN/100 mL
212,Crown 2001 Shoreline Dr.,2013-09-16T00:00:00,Enterococcus,1,MPN/100 mL
213,Crown 2001 Shoreline Dr.,2013-09-23T00:00:00,"Coliform, Fecal",200,MPN/100 mL
214,Crown 2001 Shoreline Dr.,2013-09-30T00:00:00,"Coliform, Total",1200,MPN/100 mL
215,Crown 2001 Shoreline Dr.,2013-10-21T00:00:00,"Coliform, Total",17000,MPN/100 mL
216,Crown 2001 Shoreline Dr.,2013-10-21T00:00:00,Enterococcus,73,MPN/100 mL
217,Crown 2001 Shoreline Dr.,2013-10-21T00:00:00,"Coliform, Fecal",2000,MPN/100 mL
218,Crown 2001 Shoreline Dr.,2013-11-06T00:00:00,"Coliform, Total",130,MPN/100 mL
219,Crown 2001 Shoreline Dr.,2013-11-06T00:00:00,Enterococcus,6,MPN/100 mL
220,Crown 2001 Shoreline Dr.,2013-11-18T00:00:00,"Coliform, Fecal",46,MPN/100 mL
221,Crown 2001 Shoreline Dr.,2013-12-16T00:00:00,Enterococcus,13,MPN/100 mL
222,Crown 2001 Shoreline Dr.,2014-01-13T00:00:00,Enterococcus,1,MPN/100 mL
223,Crown 2001 Shoreline Dr.,2014-01-27T00:00:00,"Coliform, Total",63,MPN/100 mL
224,Crown 2001 Shoreline Dr.,2014-02-13T00:00:00,"Coliform, Fecal",14,MPN/100 mL
225,Crown 2001 Shoreline Dr.,2014-02-24T00:00:00,Enterococcus,39,MPN/100 mL
226,Crown 2001 Shoreline Dr.,2014-02-24T00:00:00,"Coliform, Fecal",100,MPN/100 mL
227,Crown 2001 Shoreline Dr.,2014-03-10T00:00:00,Enterococcus,320,MPN/100 mL
228,Crown 2001 Shoreline Dr.,2014-04-01T00:00:00,"Coliform, Total",560,MPN/100 mL
229,Crown 2001 Shoreline Dr.,2014-04-07T00:00:00,"Coliform, Fecal",1,MPN/100 mL
230,Crown 2001 Shoreline Dr.,2012-09-04T00:00:00,Enterococcus,24,MPN/100 mL
231,Crown 2001 Shoreline Dr.,2012-09-11T00:00:00,"Coliform, Total",620,MPN/100 mL
232,Crown 2001 Shoreline Dr.,2012-09-20T00:00:00,"Coliform, Total",170,MPN/100 mL
233,Crown 2001 Shoreline Dr.,2012-10-01T00:00:00,Enterococcus,1,MPN/100 mL
234,Crown 2001 Shoreline Dr.,2012-10-09T00:00:00,Enterococcus,2,MPN/100 mL
235,Crown 2001 Shoreline Dr.,2012-10-15T00:00:00,Enterococcus,17,MPN/100 mL
236,Crown 2001 Shoreline Dr.,2012-10-29T00:00:00,Enterococcus,10,MPN/100 mL
237,Crown 2001 Shoreline Dr.,2012-10-29T00:00:00,"Coliform, Fecal",28,MPN/100 mL
238,Crown 2001 Shoreline Dr.,2012-11-13T00:00:00,Enterococcus,6,MPN/100 mL
239,Crown 2001 Shoreline Dr.,2012-11-26T00:00:00,"Coliform, Total",85,MPN/100 mL
240,Crown 2001 Shoreline Dr.,2014-04-28T00:00:00,"Coliform, Total",10,MPN/100 mL
241,Crown 2001 Shoreline Dr.,2014-05-12T00:00:00,"Coliform, Fecal",37,MPN/100 mL
242,Crown 2001 Shoreline Dr.,2014-05-19T00:00:00,"Coliform, Total",63,MPN/100 mL
243,Crown 2001 Shoreline Dr.,2014-05-19T00:00:00,Enterococcus,2,MPN/100 mL
244,Crown 2001 Shoreline Dr.,2014-05-27T00:00:00,"Coliform, Total",150,MPN/100 mL
245,Crown 2001 Shoreline Dr.,2012-11-26T00:00:00,Enterococcus,5,MPN/100 mL
246,Crown 2001 Shoreline Dr.,2013-01-14T00:00:00,"Coliform, Total",31,MPN/100 mL
247,Crown 2001 Shoreline Dr.,2013-01-28T00:00:00,"Coliform, Fecal",5,MPN/100 mL
248,Crown 2001 Shoreline Dr.,2013-02-13T00:00:00,Enterococcus,1,MPN/100 mL
249,Crown 2001 Shoreline Dr.,2013-02-25T00:00:00,"Coliform, Total",10,MPN/100 mL
250,Crown 2001 Shoreline Dr.,2014-05-27T00:00:00,Enterococcus,25,MPN/100 mL
251,Crown 2001 Shoreline Dr.,2014-05-27T00:00:00,"Coliform, Fecal",130,MPN/100 mL
252,Crown 2001 Shoreline Dr.,2014-06-02T00:00:00,Enterococcus,1,MPN/100 mL
253,Crown 2001 Shoreline Dr.,2014-06-02T00:00:00,"Coliform, Fecal",1,MPN/100 mL
254,Crown 2001 Shoreline Dr.,2014-06-09T00:00:00,"Coliform, Fecal",3,MPN/100 mL
255,Crown 2001 Shoreline Dr.,2013-03-26T00:00:00,Enterococcus,11,MPN/100 mL
256,Crown 2001 Shoreline Dr.,2013-04-02T00:00:00,Enterococcus,41,MPN/100 mL
257,Crown 2001 Shoreline Dr.,2013-04-08T00:00:00,"Coliform, Total",3400,MPN/100 mL
258,Crown 2001 Shoreline Dr.,2013-04-08T00:00:00,"Coliform, Fecal",100,MPN/100 mL
259,Crown 2001 Shoreline Dr.,2013-04-15T00:00:00,"Coliform, Fecal",41,MPN/100 mL
260,Crown 2001 Shoreline Dr.,2014-06-16T00:00:00,Enterococcus,2,MPN/100 mL
261,Crown 2001 Shoreline Dr.,2014-06-16T00:00:00,"Coliform, Fecal",7,MPN/100 mL
262,Crown 2001 Shoreline Dr.,2014-06-30T00:00:00,"Coliform, Total",20,MPN/100 mL
263,Crown 2001 Shoreline Dr.,2014-06-30T00:00:00,"Coliform, Fecal",2,MPN/100 mL
264,Crown 2001 Shoreline Dr.,2014-07-21T00:00:00,"Coliform, Total",110,MPN/100 mL
265,Crown 2001 Shoreline Dr.,2013-04-22T00:00:00,Enterococcus,1,MPN/100 mL
266,Crown 2001 Shoreline Dr.,2013-04-22T00:00:00,"Coliform, Fecal",14,MPN/100 mL
267,Crown 2001 Shoreline Dr.,2013-05-06T00:00:00,"Coliform, Fecal",1,MPN/100 mL
268,Crown 2001 Shoreline Dr.,2013-05-13T00:00:00,"Coliform, Total",52,MPN/100 mL
